Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,91876,-,-,-,34.89,-117.06,0,665,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2010,1,1,0,0,42,0,42,-4,82.56,0.227,1.1,44.12,8,940,N/A
2010,1,1,0,30,10,0,10,-4,87.74,0.227,1.2000000000000002,47.27,7,940,N/A
2010,1,1,1,0,0,0,0,-6,93.16,0.227,1.3,44.53,6,940,N/A
2010,1,1,1,30,0,0,0,-6,98.78,0.227,1.3,47.75,6,940,N/A
2010,1,1,2,0,0,0,0,-6,104.55,0.227,1.3,45.89,6,940,N/A
2010,1,1,2,30,0,0,0,-6,110.45,0.227,1.3,45.89,5,940,N/A
2010,1,1,3,0,0,0,0,-7,116.46000000000001,0.227,1.3,44.15,5,940,N/A
2010,1,1,3,30,0,0,0,-7,122.53,0.227,1.3,44.15,5,940,N/A
2010,1,1,4,0,0,0,0,-7,128.66,0.227,1.3,42.85,5,940,N/A
2010,1,1,4,30,0,0,0,-7,134.8,0.227,1.2000000000000002,42.86,5,940,N/A
2010,1,1,5,0,0,0,0,-8,140.94,0.227,1.2000000000000002,40.94,5,940,N/A
2010,1,1,5,30,0,0,0,-8,147.02,0.227,1.1,43.93,5,940,N/A
2010,1,1,6,0,0,0,0,-8,152.96,0.227,1.1,43.230000000000004,5,940,N/A
2010,1,1,6,30,0,0,0,-8,158.6,0.227,1.1,43.22,4,940,N/A
2010,1,1,7,0,0,0,0,-8,163.62,0.227,1.2000000000000002,43.53,4,940,N/A
2010,1,1,7,30,0,0,0,-8,167.20000000000002,0.227,1.1,46.730000000000004,4,940,N/A
2010,1,1,8,0,0,0,0,-8,167.97,0.227,1.1,46.57,4,940,N/A
2010,1,1,8,30,0,0,0,-8,165.47,0.227,1.1,46.57,3,940,N/A
2010,1,1,9,0,0,0,0,-8,160.95000000000002,0.227,1.1,46.5,3,940,N/A
2010,1,1,9,30,0,0,0,-8,155.53,0.227,1.1,49.94,2,940,N/A
2010,1,1,10,0,0,0,0,-8,149.69,0.227,1.1,49.2,2,940,N/A
2010,1,1,10,30,0,0,0,-8,143.66,0.227,1.1,52.870000000000005,2,940,N/A
2010,1,1,11,0,0,0,0,-8,137.54,0.227,1.1,52.46,2,940,N/A
2010,1,1,11,30,0,0,0,-8,131.39000000000001,0.227,1.1,52.46,1,940,N/A
2010,1,1,12,0,0,0,0,-8,125.25,0.227,1.1,52.64,1,940,N/A
2010,1,1,12,30,0,0,0,-8,119.15,0.227,1.1,52.64,1,940,N/A
2010,1,1,13,0,0,0,0,-8,113.11,0.227,1.1,53.08,1,940,N/A
2010,1,1,13,30,0,0,0,-8,107.16,0.227,1,53.09,1,940,N/A
2010,1,1,14,0,0,0,0,-8,101.32000000000001,0.227,1,53.97,1,940,N/A
2010,1,1,14,30,0,0,0,-8,95.63,0.227,0.9,53.97,1,940,N/A
2010,1,1,15,0,0,0,0,-7,90.11,0.227,0.9,54.45,2,940,N/A
2010,1,1,15,30,27,0,27,-7,84.81,0.227,1.3,50.7,3,940,N/A
2010,1,1,16,0,62,0,62,-8,79.78,0.227,1.8,43.49,5,940,N/A
2010,1,1,16,30,97,26,104,-8,75.08,0.227,2,40.54,6,940,N/A
2010,1,1,17,0,99,495,262,-8,70.76,0.227,2.3000000000000003,33.45,7,940,N/A
2010,1,1,17,30,167,216,252,-8,66.93,0.227,2.6,31.220000000000002,8,940,N/A
2010,1,1,18,0,186,291,316,-9,63.65,0.227,3,25.2,10,940,N/A
2010,1,1,18,30,77,875,502,-9,61.02,0.227,3,25.18,10,940,N/A
2010,1,1,19,0,79,892,537,-9,59.14,0.227,3,23.88,11,940,N/A
2010,1,1,19,30,80,900,556,-9,58.08,0.227,3,23.87,11,940,N/A
2010,1,1,20,0,80,902,560,-9,57.870000000000005,0.227,3,23.43,12,940,N/A
2010,1,1,20,30,80,898,548,-9,58.54,0.227,3,23.42,12,940,N/A
2010,1,1,21,0,206,356,384,-8,60.050000000000004,0.227,3,24.830000000000002,13,940,N/A
2010,1,1,21,30,194,313,340,-8,62.33,0.227,2.8000000000000003,26.53,12,940,N/A
2010,1,1,22,0,162,360,312,-7,65.32000000000001,0.227,2.7,28.37,12,940,N/A
2010,1,1,22,30,127,402,272,-7,68.91,0.227,2.1,30.34,11,940,N/A
2010,1,1,23,0,99,385,212,-3,73.01,0.227,1.5,39.800000000000004,10,940,N/A
2010,1,1,23,30,61,0,61,-3,77.54,0.227,1.2000000000000002,45.58,9,940,N/A
2010,1,2,0,0,33,0,33,-2,82.42,0.227,1,52.85,8,940,N/A
2010,1,2,0,30,8,0,8,-2,87.60000000000001,0.227,1,52.86,7,940,N/A
2010,1,2,1,0,0,0,0,-3,93.03,0.227,1,51.13,7,940,N/A
2010,1,2,1,30,0,0,0,-3,98.64,0.227,0.9,54.800000000000004,7,940,N/A
2010,1,2,2,0,0,0,0,-3,104.42,0.227,0.9,53.78,7,940,N/A
2010,1,2,2,30,0,0,0,-3,110.32000000000001,0.227,0.9,53.78,6,940,N/A
2010,1,2,3,0,0,0,0,-3,116.32000000000001,0.227,0.9,52.43,6,940,N/A
2010,1,2,3,30,0,0,0,-3,122.4,0.227,0.9,56.22,6,940,N/A
2010,1,2,4,0,0,0,0,-4,128.52,0.227,1,52.26,6,940,N/A
2010,1,2,4,30,0,0,0,-4,134.67000000000002,0.227,1,52.25,5,940,N/A
2010,1,2,5,0,0,0,0,-5,140.8,0.227,1,50.13,5,940,N/A
2010,1,2,5,30,0,0,0,-5,146.88,0.227,1,50.11,5,940,N/A
2010,1,2,6,0,0,0,0,-5,152.82,0.227,1,49.160000000000004,5,940,N/A
2010,1,2,6,30,0,0,0,-5,158.47,0.227,1,52.730000000000004,4,940,N/A
2010,1,2,7,0,0,0,0,-5,163.48,0.227,1.1,52.17,4,940,N/A
2010,1,2,7,30,0,0,0,-5,167.08,0.227,1.2000000000000002,56.01,3,940,N/A
2010,1,2,8,0,0,0,0,-5,167.9,0.227,1.4000000000000001,55.69,3,940,N/A
2010,1,2,8,30,0,0,0,-5,165.45000000000002,0.227,1.4000000000000001,55.69,3,940,N/A
2010,1,2,9,0,0,0,0,-6,160.97,0.227,1.5,55.230000000000004,3,940,N/A
2010,1,2,9,30,0,0,0,-6,155.57,0.227,1.5,59.32,3,940,N/A
2010,1,2,10,0,0,0,0,-6,149.74,0.227,1.5,59.13,3,940,N/A
2010,1,2,10,30,0,0,0,-6,143.71,0.227,1.5,59.13,2,940,N/A
2010,1,2,11,0,0,0,0,-6,137.6,0.227,1.6,59.300000000000004,2,940,N/A
2010,1,2,11,30,0,0,0,-6,131.45,0.227,1.6,59.31,2,940,N/A
2010,1,2,12,0,0,0,0,-5,125.31,0.227,1.6,59.84,2,940,N/A
2010,1,2,12,30,0,0,0,-5,119.2,0.227,1.6,59.85,2,940,N/A
2010,1,2,13,0,0,0,0,-5,113.16,0.227,1.6,60.2,3,940,N/A
2010,1,2,13,30,0,0,0,-5,107.21000000000001,0.227,1.5,60.2,3,940,N/A
2010,1,2,14,0,0,0,0,-5,101.36,0.227,1.5,60.34,3,940,N/A
2010,1,2,14,30,0,0,0,-5,95.66,0.227,1.3,56.17,3,940,N/A
2010,1,2,15,0,0,0,0,-4,90.13,0.227,1.2000000000000002,56.28,4,940,N/A
2010,1,2,15,30,24,508,70,-4,84.83,0.227,1.2000000000000002,48.910000000000004,6,940,N/A
2010,1,2,16,0,36,688,158,-3,79.79,0.227,1.2000000000000002,48.07,8,940,N/A
2010,1,2,16,30,44,793,248,-3,75.08,0.227,1.2000000000000002,44.9,9,940,N/A
2010,1,2,17,0,50,860,334,-3,70.76,0.227,1.4000000000000001,38.03,11,940,N/A
2010,1,2,17,30,54,905,409,-3,66.9,0.227,2,35.58,12,940,N/A
2010,1,2,18,0,56,938,473,-1,63.61,0.227,2.8000000000000003,36.01,14,940,N/A
2010,1,2,18,30,58,959,524,-1,60.97,0.227,3,33.74,15,940,N/A
2010,1,2,19,0,62,970,560,0,59.08,0.227,3.4000000000000004,33.83,16,940,N/A
2010,1,2,19,30,62,977,581,0,58,0.227,3.5,33.82,16,940,N/A
2010,1,2,20,0,64,976,585,0,57.78,0.227,3.6,32.26,17,940,N/A
2010,1,2,20,30,64,973,573,0,58.43,0.227,3.5,32.26,17,940,N/A
2010,1,2,21,0,62,964,545,0,59.93,0.227,3.5,31.990000000000002,18,940,N/A
2010,1,2,21,30,60,949,503,0,62.21,0.227,3.4000000000000004,31.990000000000002,17,940,N/A
2010,1,2,22,0,120,576,362,-1,65.19,0.227,3.4000000000000004,31.26,17,940,N/A
2010,1,2,22,30,54,887,375,-1,68.77,0.227,2.6,33.33,16,940,N/A
2010,1,2,23,0,50,831,295,0,72.87,0.227,1.9000000000000001,39.980000000000004,15,940,N/A
2010,1,2,23,30,42,652,184,0,77.4,0.227,1.6,48.65,12,940,N/A
2010,1,3,0,0,37,486,103,0,82.28,0.227,1.3,53.52,10,940,N/A
2010,1,3,0,30,16,357,32,0,87.46000000000001,0.227,1.3,57.27,9,940,N/A
2010,1,3,1,0,0,0,0,-1,92.88,0.227,1.3,53.95,9,940,N/A
2010,1,3,1,30,0,0,0,-1,98.5,0.227,1.2000000000000002,53.96,8,940,N/A
2010,1,3,2,0,0,0,0,-2,104.28,0.227,1.2000000000000002,50.550000000000004,8,940,N/A
2010,1,3,2,30,0,0,0,-2,110.18,0.227,1.2000000000000002,54.160000000000004,8,940,N/A
2010,1,3,3,0,0,0,0,-3,116.18,0.227,1.3,50.51,8,940,N/A
2010,1,3,3,30,0,0,0,-3,122.26,0.227,1.3,50.51,7,940,N/A
2010,1,3,4,0,0,0,0,-4,128.38,0.227,1.3,47.44,7,940,N/A
2010,1,3,4,30,0,0,0,-4,134.53,0.227,1.3,50.84,7,940,N/A
2010,1,3,5,0,0,0,0,-5,140.67000000000002,0.227,1.4000000000000001,48.26,7,940,N/A
2010,1,3,5,30,0,0,0,-5,146.74,0.227,1.4000000000000001,51.75,6,940,N/A
2010,1,3,6,0,0,0,0,-5,152.68,0.227,1.5,49.620000000000005,6,940,N/A
2010,1,3,6,30,0,0,0,-5,158.32,0.227,1.5,49.61,5,940,N/A
2010,1,3,7,0,0,0,0,-6,163.34,0.227,1.6,47.97,5,940,N/A
2010,1,3,7,30,0,0,0,-6,166.96,0.227,1.6,51.47,4,940,N/A
2010,1,3,8,0,0,0,0,-6,167.82,0.227,1.6,50.2,4,940,N/A
2010,1,3,8,30,0,0,0,-6,165.43,0.227,1.6,53.89,3,940,N/A
2010,1,3,9,0,0,0,0,-6,160.99,0.227,1.6,53.120000000000005,3,940,N/A
2010,1,3,9,30,0,0,0,-6,155.6,0.227,1.6,57.06,3,940,N/A
2010,1,3,10,0,0,0,0,-6,149.78,0.227,1.6,56.54,3,940,N/A
2010,1,3,10,30,0,0,0,-6,143.76,0.227,1.5,56.53,2,940,N/A
2010,1,3,11,0,0,0,0,-6,137.65,0.227,1.5,56.04,2,940,N/A
2010,1,3,11,30,0,0,0,-6,131.5,0.227,1.5,60.230000000000004,2,940,N/A
2010,1,3,12,0,0,0,0,-6,125.36,0.227,1.5,60.21,2,940,N/A
2010,1,3,12,30,0,0,0,-6,119.25,0.227,1.4000000000000001,60.22,2,940,N/A
2010,1,3,13,0,0,0,0,-6,113.21000000000001,0.227,1.4000000000000001,60.6,2,940,N/A
2010,1,3,13,30,0,0,0,-6,107.25,0.227,1.4000000000000001,60.61,1,940,N/A
2010,1,3,14,0,0,0,0,-6,101.4,0.227,1.4000000000000001,60.39,1,940,N/A
2010,1,3,14,30,0,0,0,-6,95.69,0.227,1.2000000000000002,60.39,2,940,N/A
2010,1,3,15,0,0,0,0,-5,90.16,0.227,1.2000000000000002,59.75,3,940,N/A
2010,1,3,15,30,27,470,69,-5,84.85000000000001,0.227,1.6,51.82,5,940,N/A
2010,1,3,16,0,42,657,158,-5,79.8,0.227,2,47.82,7,940,N/A
2010,1,3,16,30,99,228,157,-5,75.08,0.227,2.2,44.63,8,940,N/A
2010,1,3,17,0,60,834,335,-5,70.74,0.227,2.5,38.050000000000004,9,940,N/A
2010,1,3,17,30,159,291,274,-5,66.88,0.227,2.8000000000000003,35.56,10,940,N/A
2010,1,3,18,0,72,905,475,-5,63.57,0.227,3.2,31.86,12,940,N/A
2010,1,3,18,30,154,549,421,-5,60.92,0.227,3.4000000000000004,29.82,13,940,N/A
2010,1,3,19,0,167,549,450,-5,59.01,0.227,3.6,26.580000000000002,14,940,N/A
2010,1,3,19,30,136,669,492,-5,57.910000000000004,0.227,3.5,26.57,15,940,N/A
2010,1,3,20,0,175,548,468,-6,57.68,0.227,3.5,24.04,16,940,N/A
2010,1,3,20,30,154,601,470,-6,58.32,0.227,3.4000000000000004,24.03,16,940,N/A
2010,1,3,21,0,75,938,547,-6,59.81,0.227,3.4000000000000004,22.04,16,940,N/A
2010,1,3,21,30,162,489,391,-6,62.08,0.227,3.2,22.03,16,940,N/A
2010,1,3,22,0,70,889,445,-6,65.05,0.227,3.1,22.32,16,940,N/A
2010,1,3,22,30,65,848,374,-6,68.63,0.227,2.3000000000000003,25.400000000000002,15,940,N/A
2010,1,3,23,0,60,782,292,-1,72.73,0.227,1.5,37.7,14,940,N/A
2010,1,3,23,30,57,513,170,-2,77.25,0.227,1.4000000000000001,43.04,12,940,N/A
2010,1,4,0,0,36,569,114,-1,82.14,0.227,1.3,46.07,10,940,N/A
2010,1,4,0,30,18,309,32,-1,87.32000000000001,0.227,1.3,49.300000000000004,9,940,N/A
2010,1,4,1,0,0,0,0,-2,92.74,0.227,1.4000000000000001,49.25,9,940,N/A
2010,1,4,1,30,0,0,0,-2,98.36,0.227,1.4000000000000001,52.77,8,940,N/A
2010,1,4,2,0,0,0,0,-3,104.13,0.227,1.4000000000000001,51.800000000000004,8,940,N/A
2010,1,4,2,30,0,0,0,-3,110.04,0.227,1.4000000000000001,51.800000000000004,7,940,N/A
2010,1,4,3,0,0,0,0,-3,116.04,0.227,1.4000000000000001,50.63,7,940,N/A
2010,1,4,3,30,0,0,0,-3,122.12,0.227,1.4000000000000001,54.26,7,940,N/A
2010,1,4,4,0,0,0,0,-3,128.24,0.227,1.4000000000000001,52.6,7,940,N/A
2010,1,4,4,30,0,0,0,-3,134.39000000000001,0.227,1.4000000000000001,52.6,6,940,N/A
2010,1,4,5,0,0,0,0,-4,140.53,0.227,1.4000000000000001,51.410000000000004,6,940,N/A
2010,1,4,5,30,0,0,0,-4,146.6,0.227,1.4000000000000001,51.410000000000004,6,940,N/A
2010,1,4,6,0,0,0,0,-4,152.54,0.227,1.4000000000000001,50.300000000000004,6,940,N/A
2010,1,4,6,30,0,0,0,-4,158.18,0.227,1.4000000000000001,53.93,5,940,N/A
2010,1,4,7,0,0,0,0,-4,163.20000000000002,0.227,1.4000000000000001,52.06,5,940,N/A
2010,1,4,7,30,0,0,0,-4,166.82,0.227,1.4000000000000001,52.06,5,940,N/A
2010,1,4,8,0,0,0,0,-5,167.73,0.227,1.4000000000000001,50,5,940,N/A
2010,1,4,8,30,0,0,0,-5,165.4,0.227,1.4000000000000001,53.65,4,940,N/A
2010,1,4,9,0,0,0,0,-5,160.99,0.227,1.4000000000000001,52.07,4,940,N/A
2010,1,4,9,30,0,0,0,-5,155.63,0.227,1.4000000000000001,55.9,4,940,N/A
2010,1,4,10,0,0,0,0,-6,149.82,0.227,1.4000000000000001,54.86,4,940,N/A
2010,1,4,10,30,0,0,0,-6,143.81,0.227,1.4000000000000001,54.86,3,940,N/A
2010,1,4,11,0,0,0,0,-6,137.70000000000002,0.227,1.4000000000000001,54.24,3,940,N/A
2010,1,4,11,30,0,0,0,-6,131.55,0.227,1.4000000000000001,54.24,3,940,N/A
2010,1,4,12,0,0,0,0,-6,125.4,0.227,1.4000000000000001,54.01,3,940,N/A
2010,1,4,12,30,0,0,0,-6,119.3,0.227,1.4000000000000001,54.01,3,940,N/A
2010,1,4,13,0,0,0,0,-6,113.25,0.227,1.4000000000000001,53.96,3,940,N/A
2010,1,4,13,30,0,0,0,-6,107.28,0.227,1.3,53.97,3,940,N/A
2010,1,4,14,0,0,0,0,-6,101.43,0.227,1.3,54.410000000000004,3,940,N/A
2010,1,4,14,30,0,0,0,-6,95.72,0.227,1.2000000000000002,54.42,3,940,N/A
2010,1,4,15,0,0,0,0,-5,90.18,0.227,1.1,52.85,4,940,N/A
2010,1,4,15,30,32,203,50,-5,84.86,0.227,1.1,49.27,5,940,N/A
2010,1,4,16,0,57,330,115,-4,79.8,0.227,1.2000000000000002,49.43,6,940,N/A
2010,1,4,16,30,95,14,99,-4,75.07000000000001,0.227,1.7000000000000002,46.13,7,940,N/A
2010,1,4,17,0,134,54,151,-6,70.72,0.227,2.2,37.9,8,940,N/A
2010,1,4,17,30,170,106,212,-6,66.84,0.227,2.3000000000000003,37.9,9,940,N/A
2010,1,4,18,0,156,466,364,-6,63.52,0.227,2.4000000000000004,35.37,10,940,N/A
2010,1,4,18,30,115,685,449,-6,60.85,0.227,2.5,33.04,10,940,N/A
2010,1,4,19,0,131,669,476,-6,58.93,0.227,2.8000000000000003,30.7,11,940,N/A
2010,1,4,19,30,177,541,465,-6,57.82,0.227,2.8000000000000003,30.68,11,940,N/A
2010,1,4,20,0,199,480,456,-6,57.57,0.227,2.9000000000000004,28.75,12,940,N/A
2010,1,4,20,30,177,532,458,-6,58.2,0.227,2.9000000000000004,28.740000000000002,12,940,N/A
2010,1,4,21,0,81,912,542,-6,59.68,0.227,2.9000000000000004,27.05,13,940,N/A
2010,1,4,21,30,78,893,498,-6,61.940000000000005,0.227,2.8000000000000003,27.05,13,940,N/A
2010,1,4,22,0,94,685,385,-5,64.91,0.227,2.7,28.2,13,940,N/A
2010,1,4,22,30,93,628,324,-5,68.48,0.227,2,30.12,12,940,N/A
2010,1,4,23,0,75,576,248,-2,72.58,0.227,1.4000000000000001,42.050000000000004,12,940,N/A
2010,1,4,23,30,68,416,160,-2,77.11,0.227,1.2000000000000002,48.11,10,940,N/A
2010,1,5,0,0,41,387,95,-3,81.99,0.227,1.2000000000000002,48.42,8,940,N/A
2010,1,5,0,30,27,0,27,-3,87.17,0.227,1.2000000000000002,51.86,7,940,N/A
2010,1,5,1,0,0,0,0,-4,92.59,0.227,1.2000000000000002,46.94,7,940,N/A
2010,1,5,1,30,0,0,0,-4,98.21000000000001,0.227,1.1,46.95,7,940,N/A
2010,1,5,2,0,0,0,0,-5,103.99000000000001,0.227,1.1,45.09,7,940,N/A
2010,1,5,2,30,0,0,0,-5,109.89,0.227,1,45.09,7,940,N/A
2010,1,5,3,0,0,0,0,-5,115.9,0.227,1,43.77,7,940,N/A
2010,1,5,3,30,0,0,0,-5,121.98,0.227,1,46.910000000000004,7,940,N/A
2010,1,5,4,0,0,0,0,-5,128.1,0.227,1,45.78,7,940,N/A
2010,1,5,4,30,0,0,0,-5,134.25,0.227,1,45.78,6,940,N/A
2010,1,5,5,0,0,0,0,-6,140.38,0.227,1.1,44.82,6,940,N/A
2010,1,5,5,30,0,0,0,-6,146.46,0.227,1.1,44.81,6,940,N/A
2010,1,5,6,0,0,0,0,-6,152.39000000000001,0.227,1.1,43.93,6,940,N/A
2010,1,5,6,30,0,0,0,-6,158.03,0.227,1.1,47.1,6,940,N/A
2010,1,5,7,0,0,0,0,-6,163.05,0.227,1.2000000000000002,46.28,6,940,N/A
2010,1,5,7,30,0,0,0,-6,166.68,0.227,1.2000000000000002,46.28,5,940,N/A
2010,1,5,8,0,0,0,0,-6,167.63,0.227,1.3,45.63,5,940,N/A
2010,1,5,8,30,0,0,0,-6,165.36,0.227,1.3,48.96,5,940,N/A
2010,1,5,9,0,0,0,0,-6,160.99,0.227,1.4000000000000001,48.34,5,940,N/A
2010,1,5,9,30,0,0,0,-6,155.65,0.227,1.3,48.33,4,940,N/A
2010,1,5,10,0,0,0,0,-7,149.85,0.227,1.3,47.660000000000004,4,940,N/A
2010,1,5,10,30,0,0,0,-7,143.84,0.227,1.3,47.65,4,940,N/A
2010,1,5,11,0,0,0,0,-7,137.74,0.227,1.3,47.01,4,940,N/A
2010,1,5,11,30,0,0,0,-7,131.59,0.227,1.3,50.47,4,940,N/A
2010,1,5,12,0,0,0,0,-7,125.45,0.227,1.3,49.96,4,940,N/A
2010,1,5,12,30,0,0,0,-7,119.33,0.227,1.3,49.97,3,940,N/A
2010,1,5,13,0,0,0,0,-7,113.28,0.227,1.4000000000000001,49.63,3,940,N/A
2010,1,5,13,30,0,0,0,-7,107.31,0.227,1.3,49.64,3,940,N/A
2010,1,5,14,0,0,0,0,-7,101.46000000000001,0.227,1.3,49.39,3,940,N/A
2010,1,5,14,30,0,0,0,-7,95.74000000000001,0.227,1.2000000000000002,49.4,3,940,N/A
2010,1,5,15,0,0,0,0,-6,90.19,0.227,1.1,49.67,4,940,N/A
2010,1,5,15,30,27,451,67,-6,84.86,0.227,1.1,46.300000000000004,6,940,N/A
2010,1,5,16,0,41,648,155,-4,79.8,0.227,1.1,48.63,8,940,N/A
2010,1,5,16,30,103,94,128,-4,75.05,0.227,1.2000000000000002,45.4,9,940,N/A
2010,1,5,17,0,125,312,229,-5,70.69,0.227,1.3,34.46,11,940,N/A
2010,1,5,17,30,62,879,408,-5,66.8,0.227,1.7000000000000002,32.22,12,940,N/A
2010,1,5,18,0,66,911,473,-5,63.47,0.227,2.1,27.98,14,940,N/A
2010,1,5,18,30,69,933,524,-5,60.78,0.227,2.1,26.2,15,940,N/A
2010,1,5,19,0,70,946,560,-6,58.84,0.227,2.1,24.34,16,940,N/A
2010,1,5,19,30,71,953,581,-6,57.72,0.227,2.1,24.330000000000002,16,940,N/A
2010,1,5,20,0,72,954,585,-6,57.46,0.227,2.2,22.900000000000002,17,940,N/A
2010,1,5,20,30,71,950,573,-6,58.07,0.227,2.2,22.89,17,940,N/A
2010,1,5,21,0,69,940,546,-5,59.54,0.227,2.2,21.59,17,940,N/A
2010,1,5,21,30,67,922,503,-5,61.800000000000004,0.227,2.1,23.01,17,930,N/A
2010,1,5,22,0,64,894,445,-5,64.76,0.227,2.1,23.400000000000002,17,930,N/A
2010,1,5,22,30,60,855,376,-5,68.33,0.227,1.5,24.95,16,930,N/A
2010,1,5,23,0,54,796,295,0,72.43,0.227,1,39.15,15,930,N/A
2010,1,5,23,30,46,711,207,0,76.95,0.227,1,44.65,13,930,N/A
2010,1,6,0,0,50,180,76,-2,81.84,0.227,1.1,42.67,11,930,N/A
2010,1,6,0,30,18,329,35,-2,87.02,0.227,1,45.63,10,930,N/A
2010,1,6,1,0,0,0,0,-3,92.44,0.227,1,42.800000000000004,10,930,N/A
2010,1,6,1,30,0,0,0,-3,98.06,0.227,0.9,42.800000000000004,9,940,N/A
2010,1,6,2,0,0,0,0,-4,103.84,0.227,0.9,41.77,9,940,N/A
2010,1,6,2,30,0,0,0,-4,109.75,0.227,0.8,41.77,9,940,N/A
2010,1,6,3,0,0,0,0,-4,115.75,0.227,0.8,41.93,9,940,N/A
2010,1,6,3,30,0,0,0,-4,121.83,0.227,0.8,41.93,9,940,N/A
2010,1,6,4,0,0,0,0,-4,127.96000000000001,0.227,0.8,41.82,9,940,N/A
2010,1,6,4,30,0,0,0,-4,134.11,0.227,0.8,41.82,9,940,N/A
2010,1,6,5,0,0,0,0,-4,140.24,0.227,0.9,41.34,9,940,N/A
2010,1,6,5,30,0,0,0,-4,146.31,0.227,0.9,41.34,9,940,N/A
2010,1,6,6,0,0,0,0,-4,152.24,0.227,1,40.83,9,940,N/A
2010,1,6,6,30,0,0,0,-4,157.88,0.227,1,43.7,8,940,N/A
2010,1,6,7,0,0,0,0,-4,162.89000000000001,0.227,1.1,42.44,8,940,N/A
2010,1,6,7,30,0,0,0,-4,166.54,0.227,1.1,42.43,8,940,N/A
2010,1,6,8,0,0,0,0,-5,167.53,0.227,1.1,41.230000000000004,8,940,N/A
2010,1,6,8,30,0,0,0,-5,165.31,0.227,1.1,44.160000000000004,8,940,N/A
2010,1,6,9,0,0,0,0,-5,160.99,0.227,1.1,43.08,8,940,N/A
2010,1,6,9,30,0,0,0,-5,155.66,0.227,1.1,43.08,7,940,N/A
2010,1,6,10,0,0,0,0,-5,149.88,0.227,1.1,42.04,7,940,N/A
2010,1,6,10,30,0,0,0,-5,143.88,0.227,1.1,45.050000000000004,7,940,N/A
2010,1,6,11,0,0,0,0,-6,137.77,0.227,1.2000000000000002,43.800000000000004,7,930,N/A
2010,1,6,11,30,0,0,0,-6,131.63,0.227,1.2000000000000002,43.800000000000004,6,930,N/A
2010,1,6,12,0,0,0,0,-6,125.48,0.227,1.3,42.49,6,930,N/A
2010,1,6,12,30,0,0,0,-6,119.37,0.227,1.3,45.57,6,930,N/A
2010,1,6,13,0,0,0,0,-7,113.31,0.227,1.3,44.07,6,940,N/A
2010,1,6,13,30,0,0,0,-7,107.34,0.227,1.3,44.07,5,940,N/A
2010,1,6,14,0,0,0,0,-7,101.48,0.227,1.3,42.660000000000004,5,940,N/A
2010,1,6,14,30,0,0,0,-7,95.75,0.227,1.2000000000000002,42.660000000000004,5,940,N/A
2010,1,6,15,0,0,0,0,-6,90.2,0.227,1.1,46.56,6,940,N/A
2010,1,6,15,30,26,436,65,-6,84.86,0.227,1.3,40.52,7,940,N/A
2010,1,6,16,0,40,631,152,-4,79.78,0.227,1.5,41.21,9,940,N/A
2010,1,6,16,30,49,742,241,-4,75.03,0.227,1.8,38.53,10,940,N/A
2010,1,6,17,0,55,815,325,-6,70.66,0.227,2.2,29.68,12,940,N/A
2010,1,6,17,30,60,863,401,-6,66.75,0.227,2.5,27.76,13,940,N/A
2010,1,6,18,0,201,167,275,-6,63.4,0.227,2.9000000000000004,24.59,14,940,N/A
2010,1,6,18,30,171,493,413,-6,60.7,0.227,2.9000000000000004,23.03,15,940,N/A
2010,1,6,19,0,66,937,553,-6,58.75,0.227,2.9000000000000004,22.25,16,940,N/A
2010,1,6,19,30,67,945,573,-6,57.61,0.227,2.8000000000000003,22.240000000000002,16,930,N/A
2010,1,6,20,0,67,946,578,-5,57.33,0.227,2.7,21.68,17,930,N/A
2010,1,6,20,30,67,942,567,-5,57.94,0.227,2.5,21.68,17,930,N/A
2010,1,6,21,0,68,926,539,-5,59.4,0.227,2.4000000000000004,22.56,18,930,N/A
2010,1,6,21,30,65,909,497,-5,61.65,0.227,2.2,22.55,18,930,N/A
2010,1,6,22,0,62,883,441,-4,64.61,0.227,2,23.41,18,930,N/A
2010,1,6,22,30,58,845,372,-4,68.18,0.227,1.4000000000000001,24.95,17,930,N/A
2010,1,6,23,0,90,492,240,0,72.27,0.227,0.8,37.74,16,930,N/A
